time,top,top_middle,bottom_middle,bottom
1708219075,0,0,0,0
1708219075,0,0,0,0
1708219075,1,1,0,1
1708219075,0,1,0,0
1708219075,0,0,1,0
1708219075,1,0,0,2
1708219075,1,0,0,0
1708219075,0,0,0,0
1708219075,0,0,0,0
1708219076,0,0,0,0
1708219076,0,0,0,0
1708219076,0,0,1,0
1708219076,0,0,0,0
1708219076,1,0,0,0
1708219076,0,0,0,0
1708219076,0,0,0,0
1708219076,0,0,1,0
1708219076,0,0,0,0
1708219076,0,0,0,0
1708219077,0,0,0,0
1708219077,0,1,0,0
1708219077,1,0,0,0
1708219077,0,0,0,0
1708219077,0,0,0,0
1708219077,0,0,1,231
1708219077,0,2,0,424
1708219077,0,0,0,461
1708219077,0,0,192,589
1708219077,2,0,285,574
1708219078,0,0,342,551
1708219078,0,0,409,514
1708219078,0,0,445,580
1708219078,0,0,494,536
1708219078,0,0,490,503
1708219078,1,1,495,511
1708219078,0,0,537,534
1708219078,0,0,550,568
1708219078,2,0,480,508
1708219078,0,0,484,425
1708219079,0,0,382,300
1708219079,0,1,299,313
1708219079,1,0,208,231
1708219079,0,0,269,233
1708219079,0,0,281,294
1708219079,0,1,170,392
1708219079,0,0,104,424
1708219079,1,0,75,460
1708219079,0,0,55,440
1708219079,1,0,36,427
1708219080,1,0,1,390
1708219080,0,0,0,387
1708219080,0,0,0,434
1708219080,0,0,70,494
1708219080,0,0,211,511
1708219080,1,0,281,498
1708219080,0,1,251,362
1708219080,0,0,213,347
1708219080,0,0,243,304
1708219080,0,0,201,204
1708219081,0,1,123,157
1708219081,0,0,187,256
1708219081,0,0,294,288
1708219081,1,0,121,266
1708219081,0,1,113,276
1708219081,0,0,16,276
1708219081,0,0,27,246
1708219081,0,2,36,169
1708219081,0,0,0,239
1708219081,0,0,0,346
1708219082,0,1,31,404
1708219082,0,2,76,411
1708219082,0,0,143,433
1708219082,0,0,136,336
1708219082,0,1,93,362
1708219082,0,0,96,434
1708219082,0,0,78,477
1708219082,0,0,0,359
